# Kaggle's tag vocabulary, from Meta Kaggle (kaggle/meta-kaggle, Tags.csv).
# A keyword outside this list is silently dropped at push time: the CLI prints
# 'not valid tags and could not be added' and the upload otherwise succeeds.
# Refresh: kaggle datasets download kaggle/meta-kaggle -f Tags.csv --unzip
name	slug	kernel_count	dataset_count
ulmfit	ulmfit	1	3
mobilevit	mobilevit	1	0
multi-band melgan	multi-band-melgan	1	0
resnet19	resnet19	1	1
midas	midas	1	0
ewe	ewe	1	20
fnet	fnet	1	0
latvian	latvian	1	0
cspdarknet	cspdarknet	1	0
convmixer	convmixer	1	0
mixconv	mixconv	1	0
reduction-b	reduction-b	1	0
lithuanian	lithuanian	1	4
dan	dan	1	1
silero-stt	silero-stt	1	1
deeplab (mobilenetv2_coco_voc_trainval)	deeplab-mobilenetv2-coco-voc-trainval	1	1
malagasy	malagasy	1	18
language	language	1	6
conformer	conformer	1	4
cornish	cornish	1	0
s3d-g	s3d-g	1	1
Two Sigma x Kaggle Finance Data Repo	two-sigma-x-kaggle-finance-data-repo	1	489
kashmiri	kashmiri	1	1
georgian	georgian	1	8
hard swish	hard-swish	1	0
igbo	igbo	1	27
s3d	s3d	1	0
gujarati	gujarati	1	14
cait	cait	1	0
paralinguistic classification	paralinguistic-classification	0	3
mobilebert uncased_l-24_h-128_b-512_a-4_f-4_opt	mobilebert-uncased-l-24-h-128-b-512-a-4-f-4-opt	0	0
swish	swish	0	0
game arena	game-arena	0	38
hrnet-v2-w48	hrnet-v2-w48	0	0
maxim	maxim	0	0
architecture	architecture	0	1
synced dataset	synced-dataset	0	0
geography and places	geography-and-places	0	89
res2next block	res2next-block	0	0
res2net block	res2net-block	0	0
task	task	0	0
zulu	zulu	0	18
inception v2	inception-v2	0	1
inception v4	inception-v4	0	1
selecsls block	selecsls-block	0	0
task needs description	task-needs-description	0	0
fsaf	fsaf	0	0
inception-a	inception-a	0	0
task needs evaluation criteria	task-needs-evaluation-criteria	0	0
fbnet block	fbnet-block	0	0
dpn block	dpn-block	0	0
benchmark dataset	benchmark-dataset	0	59
dla residual block	dla-residual-block	0	0
task under construction	task-under-construction	0	0
task reviewed	task-reviewed	0	0
task curation	curation-tasks	0	0
vitdet	vitdet	0	0
grouped convolution	grouped-convolution	0	0
inplace-abn	inplace-abn	0	0
initiatives	initiatives	0	0
task needs submission format	task-needs-submission-format	0	0
